"Sc","Kgp"
0.628318530717959,0.1956
2.82743338823081,0.652
1.02101761241668,0.7172
1.97920337176157,1.7604
0.329867228626928,0.1956
1.60221225333079,0.978
3.29867228626928,2.6406
2.4052875,0.84
63.6174,9.4
2.835294,0.56
14.1862875,1.7
6.605214,2.6
0.0206729889650372,0.027
0.0723502785969608,0.094
0.31070746558568,0.109
0.200235186222395,0.138
0.469328542164619,0.238
0.337758827611872,0.292
0.617729071355683,0.316
1.41387457773894,0.96
2.11859763553896,1.668
1.48518790794219,1.757
2.38493857536575,1.777
1.27649314324671,1.82
2.03330848428533,1.92
2.7350543941951,2.985
3.02616151718249,3.822
3.95209705872599,5.595
5.29592923173985,6.994
5.76839086736914,9.15
7.35437365254937,12.942
2.8,0.27
2.6,0.33
1.6,0.61
1.6,0.66
2.8,0.95
5.6,1.75
6.8,2.09
6.5,2.29
6,2.37
5.5,2.5
9.7,2.79
7.4,2.99
5.7,3.74
6.3,4.1
7.9,5.06
9.3,6.25
8.7,8.1
7.9,8.46
9.8,9.59
9.4,14.68
11.945934,4.72
6.9708,3.68
4.69744,3.04
5.8346695,4.4
6.9708,2.88
10.6589655,3.28
33.18315,8.8
41.2825875,11.76
14.8617315,5.76
33.18315,12.88
13.000228,5.92
12.728775,6.96
5.335488,3.68
29.4532,9.44
2.69412,1.44
3.978066,1.44
5.78545,2.72
0.350956400565368,0.032
0.749239110561119,0.165
0.991601205820018,0.224
1.31853962889545,0.846
1.43438757109867,0.9
1.76246793715186,1.2
2.72179897688299,1.504
3.12659944213658,1.95
4.30578016627138,6.35
5.76921213368109,12.314
0.4,0.03
0.4,0.04
0.3,0.04
0.5,0.04
1,0.09
1,0.1
1.2,0.23
4,0.23
2,0.28
2.4,0.45
4,0.52
1.4,0.52
7.1,1.21
7.1,1.38
4.9,1.38
7.1,1.51
5.9,1.65
8.3,1.65
8.3,2.06
12.4,2.51
17.7,2.56
12.6,2.83
9.6,2.84
15.9,3.32
30.7,3.43
21.6,3.45
19.6,3.45
23.8,4.06
14.2,4.07
15.9,4.14
12.6,4.88
28.3,4.91
15.9,4.91
17.7,5.11
14.2,5.3
28.3,5.52
30.7,5.53
15.9,6.71
38.5,6.96
33.2,7.4
19.6,7.66
12.4,7.96
35.8,8.44
38.5,8.83
2,0.13
2.9,0.14
3.8,0.22
2,0.23
5.7,0.38
4.7,0.67
5.9,0.74
10.8,1.09
10.8,1.14
8,1.33
11,1.41
14.9,1.44
20.4,1.85
17,2.24
25.1,2.98
18.5,3.84
20.8,4.42
15.6,4.59
34.7,6.17
33.2,6.26
35.8,7.68
34.7,8.68
54.1,10.59
49,11.58
59.4,14.16
0.0785398163397448,0.02
0.141371669411541,0.02
0.141371669411541,0.02
0.15707963267949,0.03
0.251327412287183,0.04
0.376991118430775,0.05
0.353429173528852,0.06
0.314159265358979,0.08
0.494800842940392,0.1
0.565486677646163,0.12
0.848230016469244,0.18
1.03672557568463,0.2
1.41371669411541,0.32
1.53152641862502,0.32
2.12057504117311,0.41
3.53429173528852,0.62
8.24668071567321,1.34
10.9955742875643,1.47
15.707963267949,1.93
21.5984494934298,2.02
12.3700210735098,2.21
23.5619449019234,2.66
21.5984494934298,2.86
28.2743338823081,3.35
23.5619449019234,3.52
31.4159265358979,4.69
0.75398223686155,0.111833333333333
2.53683606777376,0.514433333333334
2.35619449019234,0.760466666666668
5.27787565803085,1.23016666666667
3.79347312920967,1.18543333333334
0.494800842940392,0.111833333333333
6.87223392972767,1.8788
2.19911485751286,0.559166666666668
3.1101767270539,0.715733333333334
37.6991118430775,6.68763333333334
2.96880505764235,1.05123333333334
1.64933614313464,0.782833333333335
1.75929188601028,0.536800000000001
0.714712328691678,0.380233333333334
0.812887099116359,0.2684
50.2656,4.5
4.523904,1.15
7.7931315,1.4
50.2656,3.875
