"High","Low","Kgp","Sc","Fitted"
11.4031475339532,1.33939074643973,4.41,30.4686029839164,6.57738004189666
5.64496411709652,0.735346801382943,1.34,11,3.16996274371543
7.39598603265076,0.890014000446608,1.84,15.9,4.12580820049274
1.70989083558418,0.2223608968426,1.668,2.11859763553896,0.972480285381216
2.67876082331808,0.360097777579097,4.635,3.8,1.47421050084535
6.63070293253923,0.778358411657686,7.61,14.16147612109,3.78517244598474
6.12306632942438,0.775516030951505,5.52533333333334,12.3700210735098,3.43905409877055
3.11552041238719,0.357960535692457,0.295,4.9,1.77664689061852
3.76585087287866,0.414754941229615,3.02,5.89048622548086,2.02270138410155
12.5552506680332,1.46377579165372,4.69,31.4159265358979,6.72270990252115
2.66567917365801,0.31980920128114,1.223,3.8,1.47919854577873
1.59259406703778,0.184097730651471,0.465,1.8,0.866305679611743
7.8975198545195,0.949156794110414,2.72,16.8269341019521,4.29627351859879
3.04335267221838,0.359002061464111,2.112,4.95221131209284,1.78715320526735
1.6364484081935,0.193776265403448,0.475,2,0.934717743658085
0.50125871875413,0.0522617126929998,0.05,0.376991118430775,0.282784949906285
0.543767165739014,0.0557406880396388,0.04,0.4,0.295114118761065
0.435017016469599,0.0470932980330254,0.047,0.297747455170348,0.238871250770796
2.69661577684598,0.308402968304278,1.407,3.7,1.45091410290037
1.08634115441488,0.12940357649365,0.781,1.1065432038198,0.611346361983698
1.87062936460322,0.22789058044025,0.559166666666668,2.19911485751286,1.000427028146
12.9907121994836,1.43610785522304,6.26,33.2,6.98720232234483
1.68790352953008,0.213599118971087,0.28,2,0.934482952609564
0.672797844637033,0.0753314168006295,0.047,0.568519792831625,0.379439449960229
1.52276918416447,0.160430999656563,0.893,1.65918684164248,0.816869168851371
1.66628486962347,0.226288172175725,0.915,2.17,0.990374766958699
7.4558212115056,0.774424133462071,4.6,15.9,4.12066371744577
0.615387947093741,0.0772381700691931,0.04,0.5,0.346296300088172
10.1254756800479,1.20028595669967,2.65166666666666,22.9728962793754,5.3724966922696
0.806053933747511,0.0898914038881803,0.048,0.66,0.422609587020096
7.8878184204216,0.857154966704037,3.32,15.9,4.1233213112523
2.254106065051,0.253723995963061,1.1084,3.1101767270539,1.28127786654275
3.75603366348673,0.453668373441919,0.6,6.4,2.15112989729854
4.76033025098217,0.478523500995074,4.136,8.57437682965709,2.6458963189841
1.60573558171327,0.195865011086472,0.369999999999999,1.83783170235003,0.879752429422047
2.3770480126702,0.238732592647473,0.727,3.3,1.33770864179094
10.1095518846417,1.21490544684689,6.39,24.6,5.63137400403745
5.80027402718254,0.653147566474896,3.28,10.6589655,3.09532666943979
5.77405307547369,0.732143294749531,2.86,11.3,3.22829784194676
8.60820547493651,0.996168507997994,3.12,18.9698871230611,4.68121134264073
2.10639604534592,0.252913001162513,1.28,2.6,1.12706305387517
2.25171612529641,0.261787100507857,1.108,2.9,1.21875990712707
0.827005266090558,0.0962732327873397,0.188,0.713598940349323,0.446735459733243
14.5712972124263,1.72476052501721,4.38,38.5,7.79379889158383
13.0368002475443,1.60229324900768,8.83,38.5,7.75452633387815
6.54604361806961,0.672592441064407,1.15,11.9,3.3541718297819
8.27614483560247,0.85064527003896,0.8942,15.90435,4.13004375029317
7.18296157981843,0.818089069447659,4.91,15.9,4.11962015957837
2.24514142597499,0.270111497315198,1.674,3,1.24827615774569
1.74353250698634,0.209415129385269,0.35,2.1,0.967698258660271
1.60731579642747,0.191209026863096,0.426,1.8869,0.896568684363455
1.24305411175903,0.145136167088244,0.282,1.31234655184194,0.690942744393957
2.70248164962578,0.294320992332556,2.247,3.7,1.44983273576392
2.89403323305447,0.389903347619613,0.983,4.05,1.54897730854577
1.06772824007228,0.119905138476555,0.686933333333334,1.02101761241668,0.57695318209974
8.86794085607843,1.06190964426975,3.45,19.6,4.79127503364268
5.72776284135778,0.746833719605428,1.4728,11.0446875,3.17868521742656
5.64548778674806,0.613662490023743,2.42,11,3.1678039398052
12.1910259403682,1.26375820875297,3.43,30.7,6.61792712889966
0.87015100822019,0.100081611902172,0.165,0.749239110561119,0.462363309468604
2.59561530052279,0.271369387685618,0.62,3.53429173528852,1.40547536958214
16.1217194693246,1.96084980920497,11.34,44.17875,8.53358607055603
8.82800465950223,0.997490791694464,4.08,19.6,4.78983841868365
2.67382230484261,0.319496342435604,1.152,3.97560332907502,1.52799186530132
11.1958591852124,1.30003831996312,3.22,27.3661964742114,6.09219137038345
5.87254426606782,0.729488967457172,1.575,11.0446875,3.17865519414052
18.0630724125293,2.01534604556156,3.875,50.2656,9.49676545573443
3.59475520660926,0.376094289273339,3.68,5.335488,1.88263125532281
1.39424490319967,0.1713060955665,0.144,1.61995582893468,0.803620433751137
2.53809654841267,0.282580784020546,0.431666666666666,3.45575191894877,1.38299937534661
1.61784577209424,0.190095040587503,0.144,1.9050585795363,0.903006466207802
0.822397102257618,0.106465537363948,0.138,0.75,0.462699501939993
6.46952804336638,0.71125074938039,3.76,13.201109380286,3.60745315847454
5.44346421952482,0.665663353402296,1.63,10.4457955731861,3.05378201162906
0.271326750088115,0.0291812080845963,0.08,0.157015830798444,0.151061260127206
6.223981703739,0.754265729157985,4.88,12.6,3.48602698102043
