"Low","High","Fitted","Sc","Kgp","X0.8"
1.165,7.595,3.85638846666667,11.3,2.86,0.8
1.678,8.67,4.7013896,18.9698871230611,3.12,0.8
0.35,2.435,1.34878523333333,2.6,1.28,0.8
0.286666666666666,1.90793333333333,1.0173428,2.9,1.108,0.8
0.00900000000000005,0.2477,0.109146933333333,0.713598940349323,0.188,0.8
2.649,14.441,7.4665428,38.5,4.38,0.8
2.8,13.35,6.95793973333333,38.5,8.83,0.8
1.566,7.289,4.036434,11.9,1.15,0.8
1.6425,7.31,4.19581426666667,15.90435,0.8942,0.8
1.8192,7.32280000000001,4.26648726666667,15.9,4.91,0.8
0.37,2.6306,1.69837473333333,3,1.674,0.8
0.241,1.7849,0.912265,2.1,0.35,0.8
0.24,1.62596,0.8178649,1.8869,0.426,0.8
0.063,0.95286,0.405384533333333,1.31234655184194,0.282,0.8
0.429,2.99138,1.64876283333333,3.7,2.247,0.8
0.4882,3.3871,1.82122946666667,4.05,0.983,0.8
0.03,0.746700000000001,0.306293333333333,1.02101761241668,0.686933333333334,0.8
1.137,6.173,3.68718903333333,19.6,3.45,0.8
1.047,6.243,3.23906396666667,11.0446875,1.4728,0.8
1.0346,6.7094,3.2030491,11,2.42,0.8
2.65916666666667,14.112,7.5577562,30.7,3.43,0.8
0.032,0.3036,0.145981733333333,0.749239110561119,0.165,0.8
0.3346,2.966,1.41813453333333,3.53429173528852,0.62,0.8
3.6425,14.8905,8.7796184,44.17875,11.34,0.8
1.627,7.00500000000001,4.05023256666667,19.6,4.08,0.8
0.36,2.9982,1.45219826666667,3.97560332907502,1.152,0.8
1.6209,8.19210000000001,4.73754753333333,27.3661964742114,3.22,0.8
0.976,6.63012333333334,3.28200613333333,11.0446875,1.575,0.8
4.37166666666667,14.4783333333333,9.18592426666667,50.2656,3.875,0.8
0.41,4.14846,2.40212386666667,5.335488,3.68,0.8
0.157,1.671,0.681077833333333,1.61995582893468,0.144,0.8
0.378,2.9851,1.6693448,3.45575191894877,0.431666666666666,0.8
0.185,1.768,0.823991166666667,1.9050585795363,0.144,0.8
0.045,0.322700000000003,0.171019933333333,0.75,0.138,0.8
1.162,6.252,3.40042803333333,13.201109380286,3.76,0.8
0.771,5.71340000000001,2.5262951,10.4457955731861,1.63,0.8
0.03,0.261,0.123164266666667,0.157015830798444,0.08,0.8
1.188,6.251,3.3989956,12.6,4.88,0.8
0.154,1.198,0.570400533333333,1.42,0.658,0.8
0.328833333333333,1.96,1.19220046666667,2.68606171881927,2.26986666666667,0.8
1.6446,6.6014,3.936711,13.5362629923572,2.14,0.8
0.627,5.588,2.36221126666667,4.31968989868597,2.9982,0.8
0.843333333333331,6.50604,3.2132536,7.24241691858793,4.559,0.8
0.1602,1.4816,0.7282188,1.75929188601028,0.536800000000001,0.8
1.8446,7.2754,4.1511952,22.3593072222328,3.88,0.8
0.337000000000002,2.4454,1.45615506666667,3,1.637,0.8
0.233,1.917,1.00680076666667,2.09974807476912,0.4,0.8
0.0408,0.926,0.4185822,1.22585531603341,0.142,0.8
1.6546,7.73440000000001,4.32995473333333,22.8441947696576,2.74,0.8
1.356,5.53533333333334,3.2460186,14.9,1.44,0.8
0.025333333333334,0.232666666666666,0.115017066666667,0.502654824574367,0.148,0.8
0.414,3.323,1.8347509,3.58034363148491,1.207,0.8
0.134,1.06165,0.567592133333333,1.56,0.101,0.8
0.02,0.294360000000001,0.1485268,0.15707963267949,0.03,0.8
0.5524,3.4896,1.98265786666667,5.17604768735822,0.64,0.8
2.265,12.245,6.23798333333333,28.2744,2.125,0.8
1.868,11.322,5.61261026666667,28.3,4.83,0.8
-0.0427599999999994,0.3156,0.121516866666667,0.450200716799655,0.02,0.8
1.349,7.325,4.14815986666667,14.2,5.3,0.8
2.514,14.118,7.35374646666667,33.2,10.6,0.8
0.01,0.293,0.143105866666667,0.687549354156988,0.101,0.8
2.893,14.094,8.2028804,33.18315,8.8,0.8
0.0244,0.313,0.167728333333333,0.79,0.208,0.8
1.678,7.27,4.23690473333333,17.7205875,2.1,0.8
3.32,12.86,7.70824133333333,41.3,5.6,0.8
0.37,3.0054,1.6660974,3.1,1.13,0.8
0.414,2.838,1.42797546666667,3.1,0.21,0.8
0.066,0.668933333333334,0.310450533333333,0.946740571206147,0.188,0.8
1.39,7.68000000000001,3.99652176666667,14.1092619588814,3.64,0.8
0.156,1.67498000000001,0.680999033333333,1.6,0.61,0.8
0.321,3.336,1.75791313333333,3.97411470679109,0.68175,0.8
0.144,1.433,0.6434442,1.76,0.808,0.8
0.111,1.1735,0.502082566666667,1.53152641862502,0.32,0.8
0.02,0.3156,0.155344733333333,0.284085612200672,0.12,0.8
0.124833333333333,1.05216666666667,0.515464266666667,1.31853962889545,0.846,0.8
1.476,8.671,4.7616772,17,2.24,0.8
0.76,6.35,2.77771803333333,5.45770304384557,0.768,0.8
0.07,0.614080000000001,0.2618032,1.09126211596072,0.28,0.8
2.6131,12.8969,7.28607453333333,52.1626197837568,11.98,0.8
2.895,15.5,8.1756564,53.3244794730471,13.55,0.8
0.515200000000001,3.676,1.851912,5.9,0.41,0.8
0.02,0.292,0.1293738,0.353429173528852,0.06,0.8
0.23,1.805,0.864983166666667,2,0.13,0.8
1.697,7.642,4.37081113333333,21.6,3.45,0.8
0.8716,6.156,3.03301106666667,9.6,0.97,0.8
0.38,2.975,1.56687166666667,3.95209705872599,5.595,0.8
0.06,0.1967,0.1213942,0.122648813711999,0.033,0.8
0.128,1.5622,0.6806061,1.75929188601028,0.4238,0.8
1.47,6.24,3.6129508,17.7,5.11,0.8
0.157,1.25516,0.650393,1.60221225333079,0.978,0.8
0.026,0.237,0.1139714,0.191428012379328,0.02,0.8
1.3428,7.9572,4.03647106666667,15.9,4.14,0.8
0.22325,1.88536,0.994211633333334,2.12057504117311,0.41,0.8
0.012,0.288,0.129424533333333,0.522316204596009,0.12,0.8
0.152799999999999,1.66338,0.751319533333333,2.2,0.74,0.8
0.0493333333333333,0.266666666666666,0.155531066666667,0.0170508110419802,0.01,0.8
0.036,0.282,0.155845666666667,0.4,0.03,0.8
0.02,0.2748,0.147476333333333,0.75,0.112,0.8
0.7,5.61533333333334,2.64469513333333,9.4,14.68,0.8
0.199,1.872,0.9135301,2.28257952459507,0.384,0.8
3.669,13.55,7.63845986666667,38.5,4.64,0.8
1.47,6.47,3.89954686666667,23.8,4.06,0.8
0.676695,5.14,2.39961953333333,4.63085055817579,1.1,0.8
0.1962,1.658,0.700453866666667,1.5,0.281,0.8
0.781,5.139,2.75821736666667,7.9,5.06,0.8
0.1834,1.855,0.801766533333333,2.04,0.671,0.8
0.4,2.9669,1.49863146666667,3.39292006587698,0.3156,0.8
0.197,1.41876,0.738740733333333,1.8,0.825,0.8
0.22745,1.8226,0.865078,2.4,0.65,0.8
0.65,4.92,2.34882863333333,7.1,1.31,0.8
0.019,0.2758,0.138482866666667,0.549778714378214,0.6312,0.8
0.052,0.646,0.266280133333333,1.06028752058656,0.716800000000001,0.8
0.333873333333333,2.023,1.1255411,3.14159265358979,2.2092,0.8
0.366,2.826,1.48682086666667,3.1101767270539,0.6049,0.8
0.4,3.68,1.8506289,5.01297584055895,0.864,0.8
2.746,11.754,6.6824626,38.4846,2.875,0.8
0.0462,1.0194,0.494376933333333,1.0386915,0.24,0.8
1.135,5.9484,3.13569823333333,10.8,1.14,0.8
1.50619,8.43,4.3632838,15.707963267949,4.46,0.8
0.0467,0.298,0.163057933333333,0.802272167320525,0.271,0.8
0.352,2.6896,1.32748213333333,3.61283155162826,1.8936,0.8
0.1945,1.6426,0.758048266666667,1.8,0.118,0.8
0.397666666666666,4.133,1.89095813333333,4.60797886816511,2.538,0.8
0.01,0.253,0.1231556,0.628318530717959,0.0789,0.8
0.048,0.2876,0.136781533333333,0.497812788749985,0.312,0.8
0.1873,1.668,0.7713267,2.18659793215093,1.872,0.8
1.646,7.294,4.28791253333333,19.6,7.66,0.8
0.048,0.254,0.1615151,0.8,0.254,0.8
0.029,0.286999999999999,0.147824666666667,0.55,0.095,0.8
0.23,2.6726,1.22658533333333,2.98345532669668,1.53,0.8
1.656,7.264,3.84985573333333,19.6,8.98,0.8
0.042,0.446700000000002,0.202945866666667,0.8,0.07,0.8
0.0219999999999999,0.3136,0.154400133333333,0.5,0.039,0.8
0.1754,1.44096,0.704853833333333,1.59263492278012,0.87,0.8
0.409,2.843,1.41922866666667,3.37769594368146,0.96,0.8
0.184,1.571,0.727703333333333,1.97920337176157,1.7604,0.8
1.45,8.09,4.57021666666667,13.7444678594553,2.5,0.8
0.0432,0.8008,0.325130566666667,1.05,0.275,0.8
0.287,1.98406666666667,1.04229173333333,2.06516731280151,0.76,0.8
0.62169,4.621,2.41420016666667,3.8,0.22,0.8
0.26325,2.25686666666667,1.1920975,2.6,0.33,0.8
1.118,6.222,2.99837776666667,11,3.71,0.8
0.0770000000000001,0.738666666666668,0.329705533333333,1,0.07,0.8
4.391,14.169,9.036147,44.3537597567528,10.3,0.8
0.5614,3.5346,1.74895196666667,5.8346695,4.4,0.8
0.3156,2.26986666666667,1.19376223333333,3.1101767270539,0.715733333333334,0.8
1.45252,6.28600000000001,3.957824,14.2,1.64,0.8
0.2499,2.022,1.11453636666667,2.5,0.749,0.8
0.62,3.67,1.97609613333333,4.95047186562982,2.068,0.8
4.493,13.557,8.687637,51.0122844861311,13.33,0.8
0.079,0.943,0.436942866666667,1.05795992107815,0.235,0.8
0.11,1.1735,0.467046066666667,1.41371669411541,0.32,0.8
0.64649,6.49,2.8802772,5.39135364371513,1.263,0.8
0.117,0.955,0.494967533333333,1.43438757109867,0.9,0.8
1.9864,9.0136,5.16726706666667,21.2,5.485,0.8
0.229,1.51,0.736059933333333,2.04203522483337,1.8936,0.8
2.875,12.88,7.317757,35.8,7.68,0.8
0.04,0.527600000000001,0.194220266666667,0.75398223686155,0.1956,0.8
0.0194,0.342,0.174142333333333,0.309820493074827,0.11,0.8
3.43,14.112,7.8292962,33.18315,2.49,0.8
0.01,0.2902,0.151272,0.55,0.097,0.8
1.1346,6.2454,3.4421874,11.5790288677411,8.41,0.8
0.03,0.5102,0.166113666666667,0.203488844519863,0.09,0.8
1.42546666666667,7.03953333333334,3.90897,13.2,1.65,0.8
0.036,0.738046666666668,0.3019991,1,0.176,0.8
0.22725,1.89924,1.0309893,2.4,0.45,0.8
0.17,1.85,0.853832266666667,2.04203522483337,1.2624,0.8
0.166,2.15600000000001,0.958024133333333,2.35619449019234,0.760466666666668,0.8
0.36,2.2092,1.2247451,3.6,2.475,0.8
0.797,5.33244000000001,2.5672303,10.6160104230332,4.93,0.8
1.48,6.95,3.96321583333333,16.2984026034175,5.61,0.8
0.418333333333334,3.16166666666667,1.70508643333333,3.2,1.25,0.8
1.046,5.64776000000001,2.95470676666667,10.8,1.09,0.8
0.6072,3.615,1.9056721,4.69744,3.04,0.8
0.048,0.672,0.329071666666667,1,0.09,0.8
0.518399999999999,4.6308,2.14751206666667,3.8013,0.812,0.8
0.466,3.7712,1.87093046666667,3.95840674352314,1.5974,0.8
0.2387,1.6593,0.794211733333333,2.38493857536575,1.777,0.8
4.405,14.875,8.757884,33.2,7.4,0.8
0.677,5.133,2.47087373333333,4.3,3.466,0.8
0.527,5.76432000000003,2.59317706666667,3.88,1.494,0.8
2.65166666666666,13.55,7.8767502,34.7,8.68,0.8
0.06,0.93,0.404609633333333,1.12359132494465,0.141,0.8
3.52,12.4502,8.52180146666667,37.6991118430775,6.68763333333334,0.8
1.452,6.948,3.8911564,12.4,2.51,0.8
1.307,6.4826,3.59756373333333,12.6,3.16,0.8
0.192733333333334,1.42766666666667,0.691949766666667,2,0.278,0.8
1.4908,7.40200000000001,4.26611786666667,18.9,1.83,0.8
0.058,0.771,0.3399572,1.22522113490002,0.2367,0.8
0.138466666666666,1.45113333333334,0.667385333333333,1.76714586764426,0.33,0.8
0.1075,0.9375,0.491768866666667,1.41371669411541,0.74,0.8
1.149,6.587,3.54621716666667,13.7444678594553,6.63040000000001,0.8
0.26195,1.88946,1.0004296,2.32817821110911,0.752,0.8
0.02,0.275,0.138752,0.469328542164619,0.238,0.8
0.288,2.042,1.11144073333333,2.58,0.981,0.8
0.46,4.625,2.2467456,4.71238898038469,0.96,0.8
1.655,7.305,4.02509226666667,15.707963267949,1.93,0.8
0.5228,7.222,2.27412253333333,3.40969271145519,1.87,0.8
0.14,1.00575,0.565112,1.2272,0.355,0.8
2.506,13.534,7.7571508,35.8,5.82,0.8
1.636,8.664,4.97880653333333,18.5,2.37,0.8
0.29,2.1992,1.1479296,2.69412,1.44,0.8
0.81,6.25,2.88619166666667,8.3,1.65,0.8
0.36,2.7226,1.5512867,3.26553936741724,1.47,0.8
0.135233333333331,1.46262666666667,0.6318068,1.56,0.245,0.8
2.82,13.54,7.32648173333333,38.5,15.52,0.8
0.324333333333332,2.59139,1.3051437,2.55,1.87,0.8
-0.0214,0.3534,0.152729266666667,0.51,0.094,0.8
0.128,1.68853333333334,0.8034642,2.010624,0.3,0.8
1.148,6.182,3.55966186666667,12.281287920441,2.37,0.8
0.024,0.271,0.1332044,0.494800842940392,0.1,0.8
0.969,5.931,2.89464996666667,12.5691536035986,7.28,0.8
1.0074,6.7526,3.38680473333333,8.9041986838708,0.72,0.8
0.58,4.11,2.24573013333333,4.90873852123405,1.59075,0.8
0.06,0.88,0.392294933333333,0.919131026251162,0.188,0.8
1.506,6.96,4.03192686666667,12.9747916271454,2.65,0.8
0.245,1.776,0.890395633333333,2.2,0.887,0.8
3.26,14.152,7.9931964,48.7462908474253,9.61,0.8
0.0192,0.3228,0.1692194,0.595765400450375,0.02,0.8
1.037,5.93,2.77734316666667,9.37557595539435,6.75,0.8
0.818,5.242,2.8581041,9.61327351998477,0.702999999999998,0.8
0.1816,1.7784,0.8739258,2,0.14,0.8
0.02,0.237,0.1083776,0.674595028429517,0.188,0.8
0.784,6.506,2.95223273333333,7.05260809797752,4.5,0.8
0.03,0.2728,0.136271533333333,0.376991118430775,0.3156,0.8
0.245,1.8936,0.994787333333333,2.35619449019234,0.64,0.8
0.853333333333331,5.14,2.7839589,7.5,1.17,0.8
0.03,0.3056,0.1566032,0.502654824574367,0.06,0.8
0.3995,3.496,1.78032376666667,3.92699081698724,0.45,0.8
0.1708,1.49896,0.6967608,1.6,0.584,0.8
0.333,1.967,1.11341413333333,3,1.237,0.8
0.00199999999999987,0.334,0.178310533333333,0.31070746558568,0.109,0.8
3.043,14.112,8.0099088,56.7,14.46,0.8
0.593,4.466,2.38269093333333,5.9,0.74,0.8
0.03,0.302,0.1305508,0.393878546194227,0.029,0.8
0.075,1.1785,0.5273182,1.25,0.292,0.8
0.2145,1.864,0.876909333333333,2.4,0.11,0.8
