"Kgp","quantile..0.1","quantile..0.9","Sc","predicted_value","nodesize"
4.88,1.649,7.61,12.6,4.2134,100
0.658,0.1409,1.1835,1.42,0.569964866666667,100
2.26986666666667,0.303,1.9708,2.68606171881927,1.13702106666667,100
2.14,1.47252,7.601,13.5362629923572,4.2558692,100
2.9982,0.67,3.74,4.31968989868597,2.135662,100
4.559,0.79,5.25,7.24241691858793,2.775472,100
0.536800000000001,0.144,1.433,1.75929188601028,0.638284633333333,100
3.88,2.1385,8.073,22.3593072222328,4.6482824,100
1.637,0.39305,2.6826,3,1.40973353333333,100
0.4,0.23,1.778,2.09974807476912,0.7883192,100
0.142,0.1,0.912,1.22585531603341,0.4410143,100
2.74,2.125,7.66,22.8441947696576,4.43397113333333,100
1.44,1.65,6.96,14.9,4.15378506666667,100
0.148,0.02,0.271,0.502654824574367,0.124165933333333,100
1.207,0.468,2.9869,3.58034363148491,1.99539316666667,100
0.101,0.14,1.00575,1.56,0.550561266666667,100
0.03,0.019,0.148,0.15707963267949,0.072981,100
0.64,0.599,3.5999,5.17604768735822,2.0244428,100
2.125,2.4,9.44,28.2744,5.30868673333333,100
4.83,2.82,12.88,28.3,6.9679396,100
0.02,0.026,0.2721,0.450200716799655,0.139834466666667,100
5.3,1.64,7.145,14.2,4.0067708,100
10.6,3.3,13.33,33.2,7.64021933333333,100
0.101,0.04,0.316,0.687549354156988,0.174077133333333,100
8.8,3.39,14.112,33.18315,7.85566106666667,100
0.208,0.04,0.336,0.79,0.192659333333333,100
2.1,1.84,6.596,17.7205875,4.02534266666667,100
5.6,3.875,14.44,41.3,8.7425894,100
1.13,0.36,2.6826,3.1,1.43498873333333,100
0.21,0.394666666666666,2.6826,3.1,1.50159223333333,100
0.188,0.07,0.7172,0.946740571206147,0.333145533333333,100
3.64,1.65,7.28,14.1092619588814,4.10538853333333,100
0.61,0.144,1.414,1.6,0.625950033333333,100
0.68175,0.431666666666666,3.04,3.97411470679109,1.62627506666667,100
0.808,0.14,1.316,1.76,0.5988347,100
0.32,0.14,1.21344,1.53152641862502,0.604353966666667,100
0.12,0.02,0.148,0.284085612200672,0.0706038666666667,100
0.846,0.12,0.96,1.31853962889545,0.484711766666667,100
2.24,1.67,6.39,17,3.95154066666667,100
0.768,0.59,3.85790000000001,5.45770304384557,2.213497,100
0.28,0.07,0.781,1.09126211596072,0.3746706,100
11.98,3.7346,14.46,52.1626197837568,8.52023886666667,100
13.55,3.7346,14.44,53.3244794730471,8.40681806666667,100
0.41,0.667,4.4,5.9,2.35580306666667,100
0.06,0.02,0.2688,0.353429173528852,0.1091522,100
0.13,0.21,1.6769,2,0.6935311,100
3.45,1.85,6.71,21.6,4.1269424,100
0.97,0.79,6.25,9.6,2.91547856666667,100
5.595,0.2943,2.7879,3.95209705872599,1.5594049,100
0.033,0.015,0.1272,0.122648813711999,0.0683218666666667,100
0.4238,0.144,1.414,1.75929188601028,0.6324826,100
5.11,1.7,6.63040000000001,17.7,4.0019808,100
0.978,0.13,1.2,1.60221225333079,0.577598966666667,100
0.02,0.0186,0.12,0.191428012379328,0.0692108666666667,100
4.14,1.83,6.596,15.9,4.06208866666667,100
0.41,0.228825,1.8728,2.12057504117311,0.825713833333333,100
0.12,0.02,0.2385,0.522316204596009,0.130031933333333,100
0.74,0.278,1.872,2.2,0.8142806,100
0.01,0.02,0.12,0.0170508110419802,0.0657095333333333,100
0.03,0.02,0.2385,0.4,0.124272266666667,100
0.112,0.0463,0.336,0.75,0.185891466666667,100
14.68,0.79,6.5,9.4,2.84800573333333,100
0.384,0.278,1.8728,2.28257952459507,0.840272133333333,100
4.64,3.70614,14.188,38.5,8.39486306666667,100
4.06,2.125,8.07,23.8,4.48725873333333,100
1.1,0.64,3.68,4.63085055817579,2.1032841,100
0.281,0.1437,1.2188,1.5,0.612883133333333,100
5.06,0.79,7.13,7.9,3.1252315,100
0.671,0.2525,1.8133,2.04,0.8460686,100
0.3156,0.448166666666667,4.935,3.39292006587698,2.15509603333333,100
0.825,0.144,1.4344,1.8,0.6582956,100
0.65,0.308,1.88946,2.4,0.990298066666667,100
1.31,0.76,5.151,7.1,2.72148376666667,100
0.6312,0.02,0.2688,0.549778714378214,0.1289352,100
0.716800000000001,0.09,0.746666666666668,1.06028752058656,0.365556133333333,100
2.2092,0.394666666666666,2.832,3.14159265358979,1.52329416666667,100
0.6049,0.36,2.8473,3.1101767270539,1.48901916666667,100
0.864,0.64,3.68,5.01297584055895,2.03483613333333,100
2.875,3.7346,14.16,38.4846,8.376321,100
0.24,0.094,0.746666666666668,1.0386915,0.3623289,100
1.14,1.09,6.25,10.8,2.859112,100
4.46,1.7,6.4826,15.707963267949,3.94584626666667,100
0.271,0.0463,0.380233333333334,0.802272167320525,0.198562533333333,100
1.8936,0.431666666666666,2.9869,3.61283155162826,1.9871375,100
0.118,0.175,1.498,1.8,0.674566366666667,100
2.538,0.4482,3.42,4.60797886816511,1.72996236666667,100
0.0789,0.047,0.316,0.628318530717959,0.185586533333333,100
0.312,0.02,0.2385,0.497812788749985,0.1128328,100
1.872,0.2065,1.7604,2.18659793215093,0.7325733,100
7.66,1.84,6.24,19.6,3.85005506666667,100
0.254,0.04,0.380233333333334,0.8,0.199255,100
0.095,0.0281000000000001,0.2924,0.55,0.161444333333333,100
1.53,0.36,2.475,2.98345532669668,1.34392146666667,100
8.98,1.84,6.24,19.6,3.89644706666667,100
0.07,0.057,0.537600000000001,0.8,0.2242,100
0.039,0.0254,0.254,0.5,0.126723,100
0.87,0.14,1.18515,1.59263492278012,0.572384233333333,100
0.96,0.394666666666666,2.9869,3.37769594368146,1.74707093333333,100
1.7604,0.144,1.433,1.97920337176157,0.626652266666667,100
2.5,1.64,6.96,13.7444678594553,4.0311208,100
0.275,0.09,0.747,1.05,0.377972633333333,100
0.76,0.23,1.872,2.06516731280151,0.823304366666667,100
0.22,0.4285,2.92,3.8,1.63798776666667,100
0.33,0.3028,2.2092,2.6,1.21500506666667,100
3.71,1.09,6.5,11,2.8716281,100
0.07,0.0968,0.7172,1,0.3428854,100
10.3,3.875,14.112,44.3537597567528,8.52924253333333,100
4.4,0.576,4.2606,5.8346695,2.22558743333333,100
0.715733333333334,0.36,2.6826,3.1101767270539,1.41320343333333,100
1.64,1.65,6.73500000000001,14.2,4.21393413333333,100
0.749,0.303,1.923,2.5,0.9847938,100
2.068,0.59,3.5999,4.95047186562982,1.99359383333333,100
13.33,3.7346,14.44,51.0122844861311,8.36024013333333,100
0.235,0.0936,0.781,1.05795992107815,0.3875467,100
0.32,0.12,1.1835,1.41371669411541,0.543960333333333,100
1.263,0.59,3.947,5.39135364371513,2.2771191,100
0.9,0.14,1.2008,1.43438757109867,0.5860818,100
5.485,1.84,6.24,21.2,3.89341786666667,100
1.8936,0.175,1.778,2.04203522483337,0.7846019,100
7.68,3.43,13.33,35.8,7.861445,100
0.1956,0.04,0.316,0.75398223686155,0.180974133333333,100
0.11,0.02,0.188,0.309820493074827,0.0809868666666667,100
2.49,3.43,14.112,33.18315,8.0899442,100
0.097,0.032,0.294,0.55,0.168936333333333,100
8.41,1.15,5.952,11.5790288677411,3.293595,100
0.09,0.015,0.149333333333333,0.203488844519863,0.0738546666666667,100
1.65,1.64,6.96,13.2,4.04134946666667,100
0.176,0.09,0.746666666666668,1,0.3679883,100
0.45,0.301,1.889,2.4,0.974092,100
1.2624,0.2345,1.872,2.04203522483337,0.811531866666667,100
0.760466666666668,0.28,1.7944,2.35619449019234,0.806532066666667,100
2.475,0.431666666666666,2.7879,3.6,1.7412598,100
4.93,1.09,6.27500000000001,10.6160104230332,2.8970857,100
5.61,1.72,6.255,16.2984026034175,3.96234493333333,100
1.25,0.394666666666666,2.9869,3.2,1.72403186666667,100
1.09,0.97,5.93,10.8,2.72751523333333,100
3.04,0.52,3.42,4.69744,1.76019236666667,100
