"Sc","Low","High","Kgp","Fitted"
1.42942465738336,0.121212121212121,0.909090909090909,0.382333333333332,0.513749774341436
2.36975344066108,0.181818181818182,1.43428809788654,1.037,0.827987909835818
17.3,1.1861234705228,9.62372080088988,2.81,5.4090036270458
10.9955742875643,0.777777777777778,6.27349833147942,1.47,3.52605617669945
5.5154715,0.404040404040404,3.23348164627364,1.62,1.83822926994312
12.728775,0.878787878787879,7.20411568409344,6.96,4.04860358297829
0.617729071355683,0.0505050505050505,0.414141414141414,0.316,0.232676000421709
1.3,0.111111111111111,0.838383838383838,0.14,0.469718076304729
14.8617315,1.06204115684093,8.32085650723026,5.76,4.6862755476283
0.0503984021668373,0.0101010101010101,0.0303030303030303,0.013,0.0218371874482639
3.61283155162826,0.272727272727273,2.17878197997775,0.47,1.23291501856775
2.94524311274043,0.222222222222222,1.80653503893215,0.38,1.0166354328387
